source_id,bp_min_flux,bp_max_flux,rp_min_flux,rp_max_flux,percentage_change_bp,percentage_change_rp,max_percentage_change
4038145607726653440,7754.459892619606,65199.2644550606,12788.227401241376,119401.49350919465,740.7969782281642,833.6829082160685,833.6829082160685
4038145878280500224,438.4507323524839,226047.03623334112,533.4608037853059,109597.86488546059,51455.857831619505,20444.689339456854,51455.857831619505
4038145916941195520,451.8673156402899,795.7096985970663,730.2045879591301,1517.8057959669015,76.09366091671322,107.86034777035034,107.86034777035034
4038146226202392064,3531.0834650182255,7647.406791150094,4508.3356599724975,7107.585036064927,116.57394584159519,57.65430021482221,116.57394584159519
4038146428037044992,147.09274245772252,1826.9742898172092,405.37717121498525,3203.1372424520205,1142.0560384495645,690.1622167947115,1142.0560384495645
4038146466720540032,1268.3268332026746,2958.680499047201,2005.8762850188627,11176.772368400574,133.27429662401642,457.2014810622017,457.2014810622017
4038146496721877120,6246.391209992244,25975.500948249228,53887.277924211,114147.70404308084,315.8481285433527,111.82681412043539,315.8481285433527
4038146909038749184,5336.5282045889,14610.887837976794,6971.547119569836,13859.08230754002,173.7901361677961,98.79493130923808,173.7901361677961
4038147016475952512,1260.9994182055696,2191.4417795986406,2848.28913547047,10687.20552456602,73.78610552549749,275.21491029388585,275.21491029388585
4038147016480187264,132.65763667223342,561.7127813721656,307.11075743860056,157888.41750489592,323.43041491084983,51310.90426845823,51310.90426845823
4038147222621431040,236.72218445255217,174080.45407990896,270.32477382557875,120875.225699265,73437.87076715704,44614.81617783842,73437.87076715704
4038147291340859264,4542.193958776974,168377.77044388413,5559.919887792502,164843.06921991112,3606.970067152776,2864.84612272642,3606.970067152776
4038147325700536832,303.0954025786711,176521.97958352766,488.69610614149684,980.761536038056,58139.741705653156,100.68945172935074,58139.741705653156
4038147703657526016,79.32033748783068,2465.1788750995734,151.9940274031676,663.8465871760815,3007.877441239809,336.75833749388937,3007.877441239809
4038147772380102528,14.157246805147102,188606.72562024358,122.03367819739829,150881.05805082052,1332127.4324671128,123538.86779415066,1332127.4324671128
4038147841094283904,1911.4213791455215,2530.4569870556015,1865.4582506880888,4078.233165047148,32.38614021293476,118.61830269012236,118.61830269012236
4038147905505828608,169.1061072393014,80840.0303704071,259.8772019909213,690.5222396299207,47704.32338615109,165.7109720821312,47704.32338615109
4038148077268268928,49535.78380761228,171277.2830644728,436086.4299186577,572122.9073913097,245.76475811845785,31.194843072284232,245.76475811845785
4038148111629753472,38977.50006529325,39920.875117803225,38407.36548885794,130512.69578389177,2.420306717797904,239.8116328019265,239.8116328019265
4038148145995096832,1540.2074808084224,156338.48765050588,2427.9204820080404,157842.30492724568,10050.482295310441,6401.131569049589,10050.482295310441
4038148184684362752,48.47435486978404,20606.064831936,157.65104077328786,360.7891834088581,42409.20901843826,128.85302985579125,42409.20901843826
4038148459584974592,26233.16447226221,149350.01797778238,150091.61047961278,170948.08029598068,469.3175832282776,13.895826522029939,469.3175832282776
4038148627060507392,764.5519053679843,149113.50994623193,779.3799706414009,1203.5370159255092,19403.38608788929,54.42236922448017,19403.38608788929
4038148631383689728,642.4967096958603,1112.965658479167,963.1908780041136,9159.67654269231,73.2251141030766,850.9721024012013,850.9721024012013
4038148665743435264,767.2600794668668,138393.87222337793,2035.0077273286106,2354.9602352091174,17937.413378725683,15.722422258342672,17937.413378725683
4038149043700567808,158.09950105623238,185381.05389001168,297.0484598750959,126509.39467379784,117155.93860291556,42488.80679839007,117155.93860291556
4038149417299970432,2124.0009545621688,2465.9803762987076,3233.7576522809454,109440.6636045844,16.10071883451826,3284.3186587402415,3284.3186587402415
4038149662175876352,445.001552648284,562.6850111825805,662.1813370386385,67273.49162526967,26.445628747572037,10059.375968843447,10059.375968843447
4038150418077025920,241.7260207739853,254.4899573050521,405.2896584522397,1417.1357547970626,5.2803320429458855,249.65998397515526,249.65998397515526
4038151242710340864,1212.1008311701903,118441.36546119502,2761.3776831825476,87050.5533501487,9671.576952624393,3052.43198640691,9671.576952624393
